"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/659frt_DharmVeerSinghsmall.jpg","Dr. Dharm Veer Singh","Assistant Professor(Research)","https://www.gla.ac.in/academics/faculty-detail/659/dr-dharm-veer-singh"
"https://www.gla.ac.in/Uploads/faculty/554frt_RashmiSinghAsst-Prof.jpg","Dr. Rashmi Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/554/dr-rashmi-singh"
"https://www.gla.ac.in/Uploads/faculty/85frt_Dr.-Manoj-Kumar-Singh-01.jpg","Dr. Manoj Kumar Singh","Assistant Professor ( Research)","https://www.gla.ac.in/academics/faculty-detail/85/dr-manoj-kumar-singh"
"https://www.gla.ac.in/Uploads/faculty/991frt_SaptarshiS.jpg","Dr. Saptarshi Pal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/991/dr-saptarshi-pal"
"https://www.gla.ac.in/Uploads/faculty/974frt_NiharikaK-S.jpg","Dr. Niharika Kulshrestha","Assistant Professor - Research","https://www.gla.ac.in/academics/faculty-detail/974/dr-niharika-kulshrestha-"
"https://www.gla.ac.in/Uploads/faculty/1318frt_SukritiAsst.ProfPhysicsGLA123484-Copy.JPG","Dr. Sukriti","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1318/dr-sukriti"
"https://www.gla.ac.in/Uploads/faculty/975frt_AradhyaS.jpg","Dr. Aradhya Kumar Shukla","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/975/dr-aradhya-kumar-shukla"
"https://www.gla.ac.in/Uploads/faculty/1340frt_VipulBhardwajAsst.ProfPhysicsGLA123457-Copy.JPG","Mr. Vipul Bhardwaj","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1340/mr-vipul-bhardwaj"
"https://www.gla.ac.in/Uploads/faculty/1328frt_HempalSinghAsst.ProfPhysicsGLA123483.JPG","Mr. Hempal Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1328/mr-hempal-singh"
"https://www.gla.ac.in/Uploads/faculty/1256frt_275.png","Dr. Swati Singh Bhadauria","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1256/dr-swati-singh-bhadauria"
"https://www.gla.ac.in/Uploads/faculty/77frt_Dr_Raj-Pal-Singh-Professor-Physics_01.jpg","Prof. Raj Pal Singh","Professor","https://www.gla.ac.in/academics/faculty-detail/77/prof-raj-pal-singh"
"https://www.gla.ac.in/Uploads/faculty/75frt_Anuj-Vijay.jpg","Prof. Anuj Vijay","Professor","https://www.gla.ac.in/academics/faculty-detail/75/prof-anuj-vijay"
"https://www.gla.ac.in/Uploads/faculty/120frt_Benoy-Kumar-Singh.jpg","Dr. Benoy Kumar Singh","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/120/dr-benoy-kumar-singh"
"https://www.gla.ac.in/Uploads/faculty/1172frt_Mr.-Amit-Kumar-Chauhan-sm.jpg","Dr. Amit Kumar Chauhan","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1172/dr-amit-kumar-chauhan"
"https://www.gla.ac.in/Uploads/faculty/119frt_Lokesh-Kumar-Sharma.jpg","Dr. Lokesh Kumar Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/119/dr-lokesh-kumar-sharma"
"https://www.gla.ac.in/Uploads/faculty/1174frt_Mr.-Shobhit-Sachan-sm.jpg","Mr. Shobhit Sachan","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1174/mr-shobhit-sachan"
"https://www.gla.ac.in/Uploads/faculty/1176frt_Mr.-Mrinal-Jauhari-sm.jpg","Mr. Mrinal Jauhari","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1176/mr-mrinal-jauhari"
"https://www.gla.ac.in/Uploads/faculty/1326frt_VijayKumarMishraAsst.Prof.PhysicsGLA123489-Copy.JPG","Mr. Vijay Kumar Mishra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1326/mr-vijay-kumar-mishra"
"https://www.gla.ac.in/Uploads/faculty/122frt_Monika-Goyal.jpg","Dr. Monika Goyal","Professor","https://www.gla.ac.in/academics/faculty-detail/122/dr-monika-goyal"
"https://www.gla.ac.in/Uploads/faculty/659frt_DharmVeerSinghsmall.jpg","Dr. Dharm Veer Singh","Assistant Professor(Research)","https://www.gla.ac.in/academics/faculty-detail/659/dr-dharm-veer-singh"
