"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/346frt_Yati-Sharma.jpg","Dr. Yati Sharma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/346/dr-yati-sharma"
"https://www.gla.ac.in/Uploads/faculty/355frt_Neetu-Agrawal.jpg","Dr. Neetu Agrawal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/355/dr-neetu-agrawal"
"https://www.gla.ac.in/Uploads/faculty/349frt_Niraj-kr-Singh.jpg","Dr. Niraj Kumar Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/349/dr-niraj-kumar-singh"
"https://www.gla.ac.in/Uploads/faculty/348frt_Murtysmall.png","Dr. Yogesh Kumar","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/348/dr-yogesh-kumar"
"https://www.gla.ac.in/Uploads/faculty/352frt_BhupeshCSemwal-01.jpg","Dr. Bhupesh C. Semwal","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/352/dr-bhupesh-c-semwal"
"https://www.gla.ac.in/Uploads/faculty/839frt_SivaPrasadPandaAsst.ProfIPR.jpg","Dr. Siva Prasad Panda","Professor","https://www.gla.ac.in/academics/faculty-detail/839/dr-siva-prasad-panda"
"https://www.gla.ac.in/Uploads/faculty/867frt_AhsasGoyalPicture(Small).jpg","Dr Ahsas Goyal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/867/dr-ahsas-goyal"
"https://www.gla.ac.in/Uploads/faculty/1484frt_MurugesanVanangamudiAssociateProf.PharmacyGLA124704.JPG","Dr. Murugesan Vanangamudi","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/1484/dr-murugesan-vanangamudi"
"https://www.gla.ac.in/Uploads/faculty/844frt_DeepaLashkariLectureIPRGLA120706.JPG","Ms. Deepa Lashkari","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/844/ms-deepa-lashkari"
"https://www.gla.ac.in/Uploads/faculty/710frt_Tarun-Kumar-Agrawal-sm.png","Mr. Tarun Kumar Agrawal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/710/mr-tarun-kumar-agrawal"
"https://www.gla.ac.in/Uploads/faculty/1105frt_KantrolKumarSahus.png","Dr. Kantrol Kumar Shahu","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1105/dr-kantrol-kumar-shahu-"
"https://www.gla.ac.in/Uploads/faculty/1369frt_PoornimaAgrawalAsst.ProfPharmaceuticalGLA124701-Copy.JPG","Ms. Poornima Agrawal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1369/ms-poornima-agrawal"
"https://www.gla.ac.in/Uploads/faculty/1082frt_Shivanismall.jpg","Dr. Shivani Jaiswal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1082/dr-shivani-jaiswal"
"https://www.gla.ac.in/Uploads/faculty/1104frt_SumanSinha-updated.jpg","Dr. Suman Sinha","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1104/dr-suman-sinha-"
"https://www.gla.ac.in/Uploads/faculty/1444frt_RukaiahFatmaBegumAsst.ProfPharmacyIPRGLA124703.JPG","Dr. Rukaiah Fatma Begum","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1444/dr-rukaiah-fatma-begum"
"https://www.gla.ac.in/Uploads/faculty/1201frt_bharat-sm.jpg","Mr. Bharat Bhushan","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1201/mr-bharat-bhushan"
"https://www.gla.ac.in/Uploads/faculty/1449frt_Krishan-Kumar-img.jpg","Dr. Krishan Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1449/dr-krishan-kumar"
"https://www.gla.ac.in/Uploads/faculty/1293frt_KantrolKumarSahuAsst.ProfPharmaceuticalResearchGLA122706(3)-Copy.JPG","Mr. Kantrol Kumar Sahu","Assistaint Professor","https://www.gla.ac.in/academics/faculty-detail/1293/mr-kantrol-kumar-sahu"
"https://www.gla.ac.in/Uploads/faculty/1210frt_Dr.M.ArockiaBabu,Director,IPR.jpg","Prof. Arockia Babu","Director","https://www.gla.ac.in/academics/faculty-detail/1210/prof-arockia-babu-"
"https://www.gla.ac.in/Uploads/faculty/353frt_Prabhat-Kr.Upadhyay.jpg","Dr. Prabhat Kumar Upadhyay","Professor","https://www.gla.ac.in/academics/faculty-detail/353/dr-prabhat-kumar-upadhyay"
"https://www.gla.ac.in/Uploads/faculty/342frt_Gopal-Prasad-Agrawal.jpg","Dr. Gopal Prasad Agrawal","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/342/dr-gopal-prasad-agrawal"
"https://www.gla.ac.in/Uploads/faculty/345frt_Sonia-Singh.jpg","Dr. Sonia Singh","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/345/dr-sonia-singh"
"https://www.gla.ac.in/Uploads/faculty/361frt_ANUJGARGGLASmall.png","Dr Anuj Garg","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/361/dr-anuj-garg"
"https://www.gla.ac.in/Uploads/faculty/363frt_RanjitKumarHarwanshAsst.Prof.Small.png","Dr. Ranjit Kumar Harwansh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/363/dr-ranjit-kumar-harwansh"
"https://www.gla.ac.in/Uploads/faculty/339frt_Kamal-Shah.jpg","Dr. Kamal Shah","Professor","https://www.gla.ac.in/academics/faculty-detail/339/dr-kamal-shah"
"https://www.gla.ac.in/Uploads/faculty/354frt_Reena-Gupta.jpg","Dr. Reena Gupta","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/354/dr-reena-gupta"
"https://www.gla.ac.in/Uploads/faculty/357frt_GauravKrishnaLecturerIPRSmall.png","Dr. Gaurav Krishna","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/357/dr-gaurav-krishna"
"https://www.gla.ac.in/Uploads/faculty/344frt_Jeetendra.kr-gupta.jpg","Dr. Jeetendra Kumar Gupta","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/344/dr-jeetendra-kumar-gupta"
"https://www.gla.ac.in/Uploads/faculty/356frt_Jitendra-Gupta.jpg","Dr. Jitendra Gupta","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/356/dr-jitendra-gupta"
"https://www.gla.ac.in/Uploads/faculty/347frt_Vibhav-Varshney.jpg","Dr. Vibhav Varshney","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/347/dr-vibhav-varshney"
"https://www.gla.ac.in/Uploads/faculty/350frt_Shilpi-Pathak.jpg","Dr. Shilpi Pathak","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/350/dr-shilpi-pathak"
"https://www.gla.ac.in/Uploads/faculty/365frt_ShashankChaturvediAsst.Prof.Small.png","Dr. Shashank Chaturvedi","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/365/dr-shashank-chaturvedi"
"https://www.gla.ac.in/Uploads/faculty/340frt_rohitass.jpg","Dr. Rohitas Deshmukh","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/340/dr-rohitas-deshmukh"
"https://www.gla.ac.in/Uploads/faculty/351frt_Keshav-Bansal.jpg","Dr. Keshav Bansal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/351/dr-keshav-bansal"
"https://www.gla.ac.in/Uploads/faculty/534frt_ShivBahadurAsst.Prof.PharmacyGLA119803(1).jpg","Dr. Shiv Bahadur","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/534/dr-shiv-bahadur"
"https://www.gla.ac.in/Uploads/faculty/359frt_123.png","Ms. Ashima Ahuja","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/359/ms-ashima-ahuja"
