"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/488frt_VishweshMishra01LecturerGLA118762Small.jpg","Mr. Vishwesh Mishra","Lecturer","https://www.gla.ac.in/academics/faculty-detail/488/mr-vishwesh-mishra"
"https://www.gla.ac.in/Uploads/faculty/489frt_AshutoshSharmaLecturerGLA119753small.jpg","Mr. Ashutosh Sharma","Lecturer","https://www.gla.ac.in/academics/faculty-detail/489/mr-ashutosh-sharma"
"https://www.gla.ac.in/Uploads/faculty/490frt_AmitSaraswatLecturerGLA119751sMALL.jpg","Mr. Amit Saraswat","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/490/mr-amit-saraswat"
"https://www.gla.ac.in/Uploads/faculty/491frt_KapilKumarSharmaDiplomaGLA116854small.jpg","Mr. Kapil Kumar Sharma","Lecturer","https://www.gla.ac.in/academics/faculty-detail/491/mr-kapil-kumar-sharma"
"https://www.gla.ac.in/Uploads/faculty/598frt_NikitaTrivediSoftSkillsTrainerDiplomaGLA119754small.jpg","Ms. Nikita Trivedi","Soft Skill Trainer","https://www.gla.ac.in/academics/faculty-detail/598/ms-nikita-trivedi"
"https://www.gla.ac.in/Uploads/faculty/1169frt_Mr.-Ambuj-Shukla-sm.jpg","Mr. Ambuj Shukla","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1169/mr-ambuj-shukla"
"https://www.gla.ac.in/Uploads/faculty/1166frt_ManojSharmaLectureEEGLA122355-Copy.JPG","Mr. Manoj Sharma","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1166/mr-manoj-sharma"
"https://www.gla.ac.in/Uploads/faculty/1171frt_ViddotmaTiwariLecturerDiplomaGLA122657-Copy.JPG","Ms. Viddotma Tiwari","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1171/ms-viddotma-tiwari"
"https://www.gla.ac.in/Uploads/faculty/1459frt_AnkushRajputLecturerUniversityPolytechnicGLA124657(1).JPG","Mr. Ankush Rajput","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1459/mr-ankush-rajput"
"https://www.gla.ac.in/Uploads/faculty/796frt_HemantGautamLecturerMechanical.jpg","Mr. Hemant Gautam","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/796/mr-hemant-gautam"
"https://www.gla.ac.in/Uploads/faculty/797frt_SunilKumarAtreyLecturerDiplomaGLA121653.jpg","Mr. Sunil Kumar Atrey","Lecturer","https://www.gla.ac.in/academics/faculty-detail/797/mr-sunil-kumar-atrey"
"https://www.gla.ac.in/Uploads/faculty/932frt_ChandrapalSinghs.jpg","Mr. Chandra Pal Singh","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/932/mr-chandra-pal-singh"
"https://www.gla.ac.in/Uploads/faculty/930frt_RaviSharmaLecturerPolytechnicGLA121654.jpg","Mr. Ravi Sharma","Lecturer","https://www.gla.ac.in/academics/faculty-detail/930/mr-ravi-sharma"
"https://www.gla.ac.in/Uploads/faculty/763frt_Ashish-Kumar-Sharmasmall.jpg","Mr. Ashish Kumar Sharma","MBA.( Marketing, Finance) B.com","https://www.gla.ac.in/academics/faculty-detail/763/mr-ashish-kumar-sharma"
"https://www.gla.ac.in/Uploads/faculty/1503frt_Small.jpg","Ms. Shubhanvi Bansal","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1503/ms-shubhanvi-bansal"
"https://www.gla.ac.in/Uploads/faculty/1397frt_RohanSinghLecturerUniversityPolytechnicGLA124652.JPG","Mr. Rohan Singh","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1397/mr-rohan-singh"
"https://www.gla.ac.in/Uploads/faculty/1471frt_HimanshuVermaLecturerUniversityPolytechnicGLA124658.JPG","Mr. Himanshu Verma","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1471/mr-himanshu-verma"
"https://www.gla.ac.in/Uploads/faculty/1385frt_MonikaLecturerUniversityPolytechnicGLA124651.JPG","Ms. Monika","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1385/ms-monika"
"https://www.gla.ac.in/Uploads/faculty/1396frt_GauravSharmaLecturerUniversityPolytechnicGLA124653-Copy.JPG","Mr. Gaurav Sharma","Lecturer","https://www.gla.ac.in/academics/faculty-detail/1396/mr-gaurav-sharma"
"https://www.gla.ac.in/Uploads/faculty/368frt_Aditya-Gautam.jpg","Mr. Aditya Gautam","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/368/mr-aditya-gautam"
"https://www.gla.ac.in/Uploads/faculty/374frt_Ravi-Kumar-Samadhiya.jpg","Mr. Ravi Kumar Samadhiya","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/374/mr-ravi-kumar-samadhiya"
"https://www.gla.ac.in/Uploads/faculty/376frt_Ravee-Kumar.jpg","Mr. Ravee Kumar","Lecturer","https://www.gla.ac.in/academics/faculty-detail/376/mr-ravee-kumar"
"https://www.gla.ac.in/Uploads/faculty/378frt_Harish-Kumar-01.jpg","Mr. Harish Kumar","Lecturer","https://www.gla.ac.in/academics/faculty-detail/378/mr-harish-kumar"
"https://www.gla.ac.in/Uploads/faculty/380frt_Riya-Lecturer-Mechanical-01.jpg","Ms. Riya","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/380/ms-riya"
"https://www.gla.ac.in/Uploads/faculty/677frt_BhagatSingh(CE)LecturerCismall.jpg","Mr. Bhagat Singh","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/677/mr-bhagat-singh"
"https://www.gla.ac.in/Uploads/faculty/384frt_Rachna-Yadav-Lecturer-Chemistri-01.jpg","Ms. Rachna Yadav","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/384/ms-rachna-yadav"
"https://www.gla.ac.in/Uploads/faculty/385frt_Pankaj-Sharma-Lecturer-Mathamatics-01.jpg","Dr. Pankaj Sharma","Lecturer","https://www.gla.ac.in/academics/faculty-detail/385/dr-pankaj-sharma"
"https://www.gla.ac.in/Uploads/faculty/387frt_Arjun-Kumar-Lecturer-Mathamatics-01.jpg","Mr. Arjun Kumar","Lecturer","https://www.gla.ac.in/academics/faculty-detail/387/mr-arjun-kumar"
"https://www.gla.ac.in/Uploads/faculty/388frt_Bhojraj-Singh-Jayas-Lecturer-Mathamatics-01.jpg","Mr. Bhoj raj Singh Jayas","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/388/mr-bhoj-raj-singh-jayas"
"https://www.gla.ac.in/Uploads/faculty/392frt_Ajay-Kumar-01.jpg","Mr. Ajay Kumar","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/392/mr-ajay-kumar"
"https://www.gla.ac.in/Uploads/faculty/399frt_Rahul-Sharma-01.jpg","Mr. Rahul Sharma","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/399/mr-rahul-sharma"
"https://www.gla.ac.in/Uploads/faculty/400frt_Shivendra-Singh-Chauhan-01.jpg","Mr. Shivendra Singh Chauhan","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/400/mr-shivendra-singh-chauhan"
"https://www.gla.ac.in/Uploads/faculty/408frt_AnshulAgrawalLecturerDiplomaCivilGLA116852small.jpg","Mr. Anshul Agrawal","Lecturer","https://www.gla.ac.in/academics/faculty-detail/408/mr-anshul-agrawal"
"https://www.gla.ac.in/Uploads/faculty/411frt_Pradeep-Kumar-Singh-Lecturer-01.jpg","Mr. Pradeep Kumar Singh","Lecturer","https://www.gla.ac.in/academics/faculty-detail/411/mr-pradeep-kumar-singh"
"https://www.gla.ac.in/Uploads/faculty/422frt_Sachin-Kumar01.jpg","Mr. Sachin Kumar","Senior Lecturer","https://www.gla.ac.in/academics/faculty-detail/422/mr-sachin-kumar"
"https://www.gla.ac.in/Uploads/faculty/428frt_Raviendra-01.jpg","Mr. Raviendra","Lecturer","https://www.gla.ac.in/academics/faculty-detail/428/mr-raviendra"
"https://www.gla.ac.in/Uploads/faculty/485frt_AnoopSinghLecturerGLA118756Small.jpg","Mr. Anoop Singh","Lecturer","https://www.gla.ac.in/academics/faculty-detail/485/mr-anoop-singh"
