"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/1510frt_IstutiSaraswat.JPG","Ms. Istuti Saraswat","Scientific Officer","https://www.gla.ac.in/academics/faculty-detail/1510/ms-istuti-saraswat"
"https://www.gla.ac.in/Uploads/faculty/1116frt_ArjunChauhans.jpg","Dr. Arjun Chauhan","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1116/dr-arjun-chauhan"
"https://www.gla.ac.in/Uploads/faculty/1206frt_JyotiGuptaAsstProfBiotech-s.png","Dr. Jyoti Gupta","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1206/dr-jyoti-gupta-"
"https://www.gla.ac.in/Uploads/faculty/1463frt_HarshalKumarAsst.ProfResearchBiotechGLA124425.JPG","Mr. Harshal Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1463/mr-harshal-kumar"
"https://www.gla.ac.in/Uploads/faculty/983frt_Dr.MayaS.jpg","Dr. Maya Datt Joshi","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/983/dr-maya-datt-joshi"
"https://www.gla.ac.in/Uploads/faculty/1283frt_SukhendraSinghPhotos.png","Dr. Sukhendra Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1283/dr-sukhendra-singh"
"https://www.gla.ac.in/Uploads/faculty/1466frt_SuhasShivajiTikoleAsst.ProfBiotechnologyGLA124421.JPG","Mr. Suhas Shivaji Tikole","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1466/mr-suhas-shivaji-tikole"
"https://www.gla.ac.in/Uploads/faculty/996frt_DrRuhis.jpg","Dr. Ruhi Sikka","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/996/dr-ruhi-sikka"
"https://www.gla.ac.in/Uploads/faculty/1284frt_SwaroopKumarPandeys.png","Dr. Swaroop Kumar Pandey","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1284/dr-swaroop-kumar-pandey"
"https://www.gla.ac.in/Uploads/faculty/997frt_DrHimanshus.jpg","Himanshu Gupta, Ph.D., MRSB","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/997/himanshu-gupta-phd-mrsb"
"https://www.gla.ac.in/Uploads/faculty/79frt_Prof.ShoorVirSingh.JPG","Prof. Shoorvir Singh","Professor and Head","https://www.gla.ac.in/academics/faculty-detail/79/prof-shoorvir-singh"
"https://www.gla.ac.in/Uploads/faculty/84frt_Anjana-Goel.jpg","Dr. Anjana Goel","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/84/-dr-anjana-goel"
"https://www.gla.ac.in/Uploads/faculty/104frt_Vishal-Khandelwal.jpg","Dr. Vishal Khandelwal","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/104/dr-vishal-khandelwal"
"https://www.gla.ac.in/Uploads/faculty/98frt_Anuja-Mishra.jpg","Dr. Anuja Mishra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/98/dr-anuja-mishra"
"https://www.gla.ac.in/Uploads/faculty/140frt_Pradeep-Kumar-Choudhary.jpg","Dr. Pradeep Kumar Choudhary","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/140/dr-pradeep-kumar-choudhary"
"https://www.gla.ac.in/Uploads/faculty/143frt_Alok-Bharadwaj.jpg","Dr. Alok Bharadwaj","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/143/dr-alok-bharadwaj"
"https://www.gla.ac.in/Uploads/faculty/170frt_Saurabhs.jpg","Dr. Saurabh Gupta","Assistant Professor- Research","https://www.gla.ac.in/academics/faculty-detail/170/dr-saurabh-gupta"
"https://www.gla.ac.in/Uploads/faculty/663frt_AnukoolVaishnavsmall.jpg","Dr. Anukool Vaishnav","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/663/dr-anukool-vaishnav"
"https://www.gla.ac.in/Uploads/faculty/1113frt_Dr-Dilip-Kumar-Sharma-sm.png","Dr. Sarmistha Saha","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1113/dr-sarmistha-saha"
"https://www.gla.ac.in/Uploads/faculty/1114frt_dr-rishikesh-shukla-sm.png","Dr. Rishikesh Shukla","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1114/dr-rishikesh-shukla"
"https://www.gla.ac.in/Uploads/faculty/79frt_Prof.ShoorVirSingh.JPG","Prof. Shoorvir Singh","Professor and Head","https://www.gla.ac.in/academics/faculty-detail/79/prof-shoorvir-singh"
