"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/1315frt_ChandniKumariAsst.ProfMathGLA123492.JPG","Dr. Chandni Kumari","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1315/dr-chandni-kumari"
"https://www.gla.ac.in/Uploads/faculty/1432frt_WhatsAppImage2024-06-27at1.36.39PM.jpeg","Dr. Ankita Pandey","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1432/dr-ankita-pandey"
"https://www.gla.ac.in/Uploads/faculty/1316frt_VineetKumarChaurasiyaAsst.ProfMathGLA123495.JPG","Mr. Vineet Kumar Chaurasiya","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1316/mr-vineet-kumar-chaurasiya"
"https://www.gla.ac.in/Uploads/faculty/1094frt_SwetaShukla01s.jpg","Dr. Sweta Shukla","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1094/dr-sweta-shukla"
"https://www.gla.ac.in/Uploads/faculty/1096frt_Dr.MohitKumars.jpg","Dr. Mohit Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1096/dr-mohit-kumar"
"https://www.gla.ac.in/Uploads/faculty/1490frt_SwagataNandyAsstProfMathematicsGLA124438.JPG","Dr. Swagata Nandy","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1490/dr-swagata-nandy"
"https://www.gla.ac.in/Uploads/faculty/1435frt_TanyaGuptaAsst.ProfMathematicsGLA124413.JPG","Ms. Tanya Gupta","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1435/ms-tanya-gupta"
"https://www.gla.ac.in/Uploads/faculty/1392frt_MasumRajAsst.ProfMathematicsGLA124402.JPG","Dr. Masum Raj","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1392/dr-masum-raj"
"https://www.gla.ac.in/Uploads/faculty/1384frt_AnkitaDubeyAsst.ProfMathematicsGLA124405-Copy.JPG","Ms. Ankita Dubey","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1384/ms-ankita-dubey"
"https://www.gla.ac.in/Uploads/faculty/1482frt_TanujKumarRawatAsst.ProfMathematicsNoidaGLA124436.JPG","Mr. Tanuj Kumar Rawat","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1482/mr-tanuj-kumar-rawat"
"https://www.gla.ac.in/Uploads/faculty/1468frt_UmashankarSamalAsst.ProfMathematicsGLA124422.jpg","Mr. Umashankar Samal","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1468/mr-umashankar-samal"
"https://www.gla.ac.in/Uploads/faculty/1469frt_VaishaliVarshneyAsst.ProfMathematicsGLA124429(1).JPG","Ms. Vaishali Varshney","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1469/ms-vaishali-varshney"
"https://www.gla.ac.in/Uploads/faculty/1478frt_RuchiSinghRajawatAsst.ProfMathematicsGLA124434.JPG","Dr. Ruchi Singh Rajawat","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1478/dr-ruchi-singh-rajawat"
"https://www.gla.ac.in/Uploads/faculty/1447frt_NishantKumarAsst.ProfMathematicsGLA124418.JPG","Mr. Nishant Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1447/mr-nishant-kumar"
"https://www.gla.ac.in/Uploads/faculty/1436frt_ShrutiTiwariAsst.ProfMathematicsGLA124505-Copy.JPG","Dr. Shruti Tiwari","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1436/dr-shruti-tiwari"
"https://www.gla.ac.in/Uploads/faculty/781frt_Aroon-kumar-Beesham-sm.jpg","Aroon kumar Beesham","Senior Professor","https://www.gla.ac.in/academics/faculty-detail/781/aroon-kumar-beesham"
"https://www.gla.ac.in/Uploads/faculty/23frt_Dr.Anirudha-Pradhan-small.jpg","Prof. Anirudh Pradhan","Distinguished Professor and Director","https://www.gla.ac.in/academics/faculty-detail/23/prof-anirudh-pradhan"
"https://www.gla.ac.in/Uploads/faculty/86frt_Manish-Goyal.jpg","Prof. Manish Goyal","Professor & Associate Head","https://www.gla.ac.in/academics/faculty-detail/86/prof-manish-goyal"
"https://www.gla.ac.in/Uploads/faculty/110frt_Mukesh-Kumar.jpg","Dr. Mukesh Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/110/dr-mukesh-kumar"
"https://www.gla.ac.in/Uploads/faculty/1177frt_Poojas.png","Dr. Pooja Verma","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1177/dr-pooja-verma"
"https://www.gla.ac.in/Uploads/faculty/1178frt_Kapil-Kumar-sm.jpg","Mr. Kapil Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1178/mr-kapil-kumar"
"https://www.gla.ac.in/Uploads/faculty/107frt_Priyanka-Garg.jpg","Dr. Priyanka Garg","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/107/dr-priyanka-garg"
