"img-fluid src","achievers-cont","achievers-cont 2","achievers-cont href"
"https://www.gla.ac.in/Uploads/faculty/1305frt_KousikAttaAsst.Prof.AgricultureGLA123498-Copy.JPG","Dr. Kousik Atta","Assistant Professor & Area Chair","https://www.gla.ac.in/academics/faculty-detail/1305/dr-kousik-atta"
"https://www.gla.ac.in/Uploads/faculty/1458frt_shshantsmall.png","Dr. Sushant Kumar","","https://www.gla.ac.in/academics/faculty-detail/1458/dr-sushant-kumar"
"https://www.gla.ac.in/Uploads/faculty/1358frt_SutharBhoomibhenRajendrakumarAsst.ProfAgricultureGLA123508.JPG","Dr. Suthar Bhoomibhen Rajendrakumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1358/dr-suthar-bhoomibhen-rajendrakumar"
"https://www.gla.ac.in/Uploads/faculty/892frt_SarveshSinghAsst.Prof.Agri.GLA121403.JPG","Dr. Sarvesh Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/892/dr-sarvesh-singh"
"https://www.gla.ac.in/Uploads/faculty/1412frt_DeeependraYadavAsst.ProfAgricultural.jpg","Dr. Deeependra Yadav","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1412/dr-deeependra-yadav"
"https://www.gla.ac.in/Uploads/faculty/1454frt_shipa1.jpg","Shipa Rani Dey","","https://www.gla.ac.in/academics/faculty-detail/1454/shipa-rani-dey"
"https://www.gla.ac.in/Uploads/faculty/1337frt_DilipKumarChaurasiyaAsst.ProfAgriculturalGLA123504.JPG","Dr. Dilip Kumar Chaurasiya","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1337/dr-dilip-kumar-chaurasiya"
"https://www.gla.ac.in/Uploads/faculty/1379frt_AnandKumarAsst.ProfAgriculturalGLA124403.JPG","Dr. Anand Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1379/dr-anand-kumar"
"https://www.gla.ac.in/Uploads/faculty/1338frt_AmitabhSinghAssociate.ProfessorAgriculturalGLA123503.JPG","Mr. Amitabh Singh","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/1338/mr-amitabh-singh"
"https://www.gla.ac.in/Uploads/faculty/1372frt_Smallvip.png","Dr. Biplov Chandra Sarkar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1372/dr-biplov-chandra-sarkar"
"https://www.gla.ac.in/Uploads/faculty/1381frt_SagarAsst.ProfAgriculturalGLA124406-Copy.JPG","Dr. Sagar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1381/dr-sagar"
"https://www.gla.ac.in/Uploads/faculty/1417frt_AkanchhaSinghAsst.Prof.AgricultureGLA124409-Copy.JPG","Dr. Akanchha Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1417/dr-akanchha-singh"
"https://www.gla.ac.in/Uploads/faculty/1241frt_Kailash-Sati-sm.jpg","Dr. Kailash Sati","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1241/dr-kailash-sati"
"https://www.gla.ac.in/Uploads/faculty/1239frt_Shyam-Kishor-Patel-sm.jpg","Dr. Shyam Kishor Patel","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1239/dr-shyam-kishor-patel"
"https://www.gla.ac.in/Uploads/faculty/576frt_vineetapandeysmall.jpg","Dr. Vineeta Pandey","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/576/dr-vineeta-pandey"
"https://www.gla.ac.in/Uploads/faculty/1158frt_RohitKumar.jpg","Dr. Rohit Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1158/dr-rohit-kumar"
"https://www.gla.ac.in/Uploads/faculty/1156frt_Amits.jpg","Dr. Amit Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1156/dr-amit-kumar"
"https://www.gla.ac.in/Uploads/faculty/1157frt_Amita-Yadav-sm.jpg","Dr. Amita Yadav","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1157/dr-amita-yadav"
"https://www.gla.ac.in/Uploads/faculty/1160frt_Mr.-Sanjeev-Kumar-sm.jpg","Dr. Sanjeev Kumar","Associate Professor","https://www.gla.ac.in/academics/faculty-detail/1160/dr-sanjeev-kumar"
"https://www.gla.ac.in/Uploads/faculty/1430frt_FalguniRathoreAsst.Prof.AgricultureGLA124411(1).JPG","Dr. Falguni Rathore","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1430/dr-falguni-rathore"
"https://www.gla.ac.in/Uploads/faculty/627frt_Dr.MohammadYaseenAsst.ProfAgriculturesmall.jpg","Dr. Mohammad Yaseen","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/627/dr-mohammad-yaseen"
"https://www.gla.ac.in/Uploads/faculty/942frt_Sadhna-Mishra.jpg","Dr. Sadhna Mishra","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/942/dr-sadhna-mishra"
"https://www.gla.ac.in/Uploads/faculty/1461frt_Dr.PavanSinghAsst.ProfAgriculturalGLA124428(1).JPG","Dr. Pavan Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1461/dr-pavan-singh"
"https://www.gla.ac.in/Uploads/faculty/1317frt_VaibhavSinghAsst.Prof.AgricultureGLA123494.JPG","Dr. Vaibhav Singh","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/1317/dr-vaibhav-singh"
"https://www.gla.ac.in/Uploads/faculty/858frt_PradeepJoliyaAsst.ProfAgricultureSmall.jpg","Dr. Pradeep Joliya","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/858/dr-pradeep-joliya"
"https://www.gla.ac.in/Uploads/faculty/946frt_VikashKumars.jpg","Dr. Vikash Kumar","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/946/dr-vikash-kumar"
"https://www.gla.ac.in/Uploads/faculty/947frt_AlokRaiS.jpg","Dr. Alok Rai","Assistant Professor","https://www.gla.ac.in/academics/faculty-detail/947/dr-alok-rai"
"https://www.gla.ac.in/Uploads/faculty/1305frt_KousikAttaAsst.Prof.AgricultureGLA123498-Copy.JPG","Dr. Kousik Atta","Assistant Professor & Area Chair","https://www.gla.ac.in/academics/faculty-detail/1305/dr-kousik-atta"
